sommer--ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	micha-ii-48	lancellotto-ii-48
puis que il vous plaist iou remandrai. 	e luego salieron delas tiendas escuderos 	puis quil uous plaist ie demourray. et pour uostre priere.  et aussi par ce que uous dictes 	des que il uos plait ie remendrai por uostre proiere  et por ce que uos me dites 		puis qu’il vos plest,  je remaindrai et por vostre proiere 	e io rimarrò per vostro amore 
Lors descentas Dde son cheual  Et uallet saillent des autres paueillons. 	Quelo desarmaron  e desque fue desarmado  Truxeronle vn manto de xamete  para cubrir Porla calor 	que uous estes cheualier errant  Lors descent.  et uarletz saillent des autres paurillons 	que uos estes cheualiers errans  com ie sui Ices descent lancel.  et uarles saillent des autres pauillons. 	Lors descent de son cheual/ et uarletz saillent des autres paueillens 	et por ce que vos dites  que vos estes chevaliers errans. a,  Lors descent et vaslés saillent des autres paveillons, 	e per ciò che vo' siete cavaliere erante come vo' dite».  soAllor discende Lancellotto  e' valletti salgono dell’altro padiglione, 
si le desarment demaintenant. 	que façia grande 	si le desarment 	si le desarment 	si le desarment 	si le desarment 	si 'l disarmarono 
puis li aportent vn mantel de samit por affubler. 	e entonçe se entraron el cauallero  e lançarote enla tienda 	et luy apportent ung legier mantel de samit a affubler pour le chaut  qui estoit grant. 	et li portent un mantel de samis uermeil legier por le chaut 	et lui apportent ung manteau de samit  pour affubler pour le chault 	et li aportent I. mantel de samit legier a afubler por le chaut  qui grans estoit ; 	e gli aportarono uno mantello di sciamito per afibiare, 
				qui grant estoit. 		
et lors sen uont el grant paueillon entre lui et le cheualier. 	e asentaronse  e començaron a fablar envno 	si le mainent ou grant paueillon luy et le cheualier.  lors parlent ensembles ce sentracointent 	qui grans estoit  si le mainnent el grant pauillon entre lui et le cheualier. 	Si le mainent au grant paueillon.  lui et le cheualier sentreacointerent 	si le mainent el grant paveillon avec l’autre chevalier.  Et lors parlerent ensamble 	per lo caldo che grande era, 
			et lors parolent ensanble entre lui et ses grans cheualiers. et lanc̃. et satracointent. 			
et cil li demande 	e el cauallero le pregunto  e dixo 	et demandent lun et lautre de son estre.  Si enquiert le cheualier a lancelot 	et demande li uns a lautre de son estre.  Si demande li cheualiers 	et demanda lun a lautre  dont ilz estoient: 	et s’entracointierent  et demanda li uns a l’autre de son estre ». 	si se ne vanno nel grande padiglione  intra lui e l cavaliere; 
					Li chevaliers enquiert a Lancelot 	
			don il uient et don il ua. 			
ou il aloit. 	señor que auentura os lleba asi solo  e lançarote le conto toda su façienda 	dont il uient  et ou il uait. 	et quel auanture le mainne si seul.  et il li conte une partie de son estre 	et quelle auanture le menoit si seul.  Et il lui compte de son estre une partie 	dont il vient  et ou il vet 	allor parlarono insieme  e si tracomandarono al domandare l’uno a l’altro di suo essere, 
					et quele aventure le maine si sol, 	
					et il li conte une partie de son estre 	
			et une partie len soile. 			
		et quelle auanture le mainne seul 				
		et il luy en compte une partie 				
		et luy en cele l autre. 				
Et lancelot li dist 	enpero todavia le dixo 	Et touteuoyes  dist il 	et totesuoie li dit 	et lautre lui en celle:  et toutesfois dit il 	et autre l’en çoile e;  et totes voies li dist 	si inchiede il cavaliere a Lancellotto  donde e viene 
quil volroit estre a la cort le roy baudemagu  pour combatre a. j. cheualier 	que yua ala corte del Rey bandemagus  aque dixo el cauallero  ame defender devn cauallero 	qu en la court du roy bandemagu uoudroit il estre  pour soy deffendre uers ung cheualier 	que a la cort bademagu:  uodroit estre.  por soi desfandre uers un cheualier. 	que en la court du roy bademagus uouldroit il estre pour ung cheualier 	que en la cort al roi Baudemagu voldroit estre por soi deffendre vers un chevalier 	e dove e' va,  e quale aventura il mena si solo,  ed e' gli conta una partita di suo essere  e una partita ne li 
qui lauait apele de traison. 	dixo lançarote  que me Recto de traiçion 	qui la apelle de traison 	qui apelela de traison. 	qui lauoit appelle de trayson. 	qui l’a apelé de traïson. 	cela;e tutvorebbe essere per sé difendere verso d’uno cavaliere  che apellato l’à di tradigione nella corte del re Artù. 
Et en chou quil a parloient  ensi orent li escuier mises lez tables. 	e ellos asi fablando entro vn escudero  e puso la mesa 	Ainsi quilz parloient mistrent les escuiers la table 	EN ce quil parloient ensamble.  si ont li escuier misses les tables. 	Et ainsi qu ilz parloient len mist les tables. 	En ce qu’il parloient ensi,  orent li escuier mise la table, 	Seln ciò che parlavano insi,  ebbono i valletti messe le tavole: 
si vont lauer  si sassistrent li cheualier au mangier  Et vne damoisele  qui moult estoit bele 	e asentose el cauallero a comer e lançarote  e vna donzella muy fermosa 	si uont lauer.  puis sassiet lancelot et le cheualier.  et une damoisele  qui moult estoit belle 	Si ont laue.  Si ont assis lanc̃. et le cheualier et une damoisele  qui mout estoit bele. 	ilz lauent leurs mains  et puis se assient le cheualier et lancelot:  et une damoiselle moult belle/ 	si vont laver;  si s’asiet Lancelos et li chevaliers et une damoisele  qui molt ert bele 	si si lavarono lor mani  e s’asederono al mangiare intra l cavaliere e Lancellotto e una damigella  che molto fu bella e avenante e fresca, 
qui estoit amie au cheualier de laiens. 	que hera amiga del cauallero 	et estoit amyx au seigneur de leaus. 	et estoit amie au signor de Laiens. 	laquelle estoit amie au cheualier de leans. 	et estoit amie al seignor de laiens; 	si era amica del signor di là entro,  si era ella molto gentile femina. 
si mangerent tout. iij. ensamble  mais moult regarde la damoisele lancelot.  et ne se puet de lui regarder saouler. 	mas la donçella en quanto vido a lançarote  ansi lo cataua  que no se hartaua delo ver 	si mangerent tous troys ensemble.  Mais celle qui regarde lancelot  ne se puet saouler de le ueoir.  Car tant luy sembla beau 	Si mengerent  cui troi ensenble mais cele  qui lanc̃ esgarde ne se puet saouler de lui esgarder.  Car tant li sanble biax: 	Si mengerent tous trois ensemble:  mais celle qui lancelot regarde laisse le boire et le mengier pour la grant beaute 	si mengierent tuit troi ensamble.  mes cele qui Lancelot esgarde  ne se puet saoler de lui veoir,  Kar tant li samble bials 	i mangiarono tutti e tre insieme  e quella,  che Lancellotto riguardava tutto adesso,  non si può satollare di lui vedere, 
Si ne prisa onques mais la biaute domme vers la soie.  Si le regarde si ententieument 	enque lo via tan fermoso  e no cuidaua  que tan fermoso ome pudiese auer enel mundo 	que oncquez ne pasa beaute domme enuers ceste  si le regarda si auiseement 	que ele ne prisa onques  mais biaute a ome enuers la soie nule rieu.  Si le regarde si uiseument 	que elle uoit en lui/ si 	qu’ele ne prisa onques mes bialté d’ome envers cesti :  si l’esgarde si viselment 	ché tanto le sembia a essere bello  ch’ella non pregia unque biltà d’uomo inverso costui:  isi-llo sguarda si visibilmente 
que tout en laisse le boire et le mangier.  si que a autre chose nentent.  fors ca lui remirer.  Si ont li escuier oste le premier mes. 	e asi lo estaua catando  que no podia comer  que auia el escudero tirado el primero manjar dela mesa 	que tout en laisse le manger.  si ont les escuiers ouste le premier mies de dessus la table 	que tout en laisse le mengier.  Na autre chose nentant fors a lui remirer.  Si ont li escuier oste le premier mes desus la table 	que a autre chose ne entent.  si ont les escuiers oste le premier 	que tot en laisse le mengier n’a autre chose n’entent.  fors a lui remirer.  Si ont li escuier osté le premier mes de sor la table 	che tutto ne lascia suo mangiare,  né ad altra cosa non ne intende fôrse a llui riguardare.  i tentivamente il riguardava  che gli scudieri ebbono levata la prima imbandigione 
mais onques la damoisele nen gousta. 	e ella no auia metido vocado enla voca 	que oncques la damoisele nen tasta. 	que onques la damoisele nen tata. 	mes que encques la damoiselle nen tasta 	c’onques la damoisele n’en tasta, 	ch’unque la damigella no ne saggiò, 
Ains pensa toutes voies a la grant biaute lancelot. 	e la donçella asi lo catando començo a pensar tan fieramente  que no hera sino marauilla 	ains peust tousiours. 	ains pance totesuoies . 	ains pensa a lancelot: 	ains pensa totes voies. 	ché d’altra vivanda avea presa a mangiare  dond’ella non si satollerà mica leggermente, 
Et en celui pense  li descendoit au cuer vne si grant amor : 	e ella ansi pensando  cayo vn amor ensu corazon 	et ce penser luy descent ou cuer 	et en se panser li dessent une si tresgrant amor 	et en celle pensee lui descendoit une telle amour au cueur 	Et en cel pensé li descent el cuer une si grant amor 	ciò l’è aviso,  si farà s’ella unque potrà.  Slnsi pensa la damigella tuttavia, 
que elle ama lancelot outre chou 	quelo començo ansi a amar a lançarote 	tant quelle arme lancelot 	que ele aimme lautͣ. 	que elle ayma lancelot oultre 	qu’ele aime Lancelot 	e n quel pensieri le si ferma nel cuore uno sì grande amore  ch’ella ama Lancellotto 
que femme nama onkes si homme. 	que mas muger podia a ome amar  e deçia entresi mesma 	plus que femme nama iamais home 	outre ce que fame nemma mais home. 	que femme ne ayma oncques homme. 	outre ce que feme n’ama mes home; 	oltre ciò che femina non amò mai uomo.  i-ll’è aviso 
Si li est auis  que sil lamoit  que elle seroit bone euree. 	que si la el quisiese amar  que se ternia porla 	si luy est bien aduis  que selle lamoit elle seroit bieneuree.  Mais cy cy endroit  pour deuiser une auanture 	Si li est bien auis  que ce il lenmoit  que ele seroit bone euree. 	Si lui est auiz  que sil laymoit quelle seroit trop eureuse. 	si li est avis  que s’il l’amoit  qu'ele seroit beneuree. 	che se Dio,  che n’à forza, le consentisse  ch’elli l’amasse,  ch’ella sarebbe in buon'or nata. 
Mais chi endroit nen parole plus li contes.  mais cha auant vous deuisera 	mas bien auenturada muger del mundo 	qui leur aduint ou paueillon endroit  nen parle plus le comte  car apres le uous deuisera bien 	mais ci endroit nen parole plus li contes.  Mais sa auant en la deuine page le uos deuisera il bien. 	Mais cy endroit plus nen parle le compte  car cy aprez le uous deuisera 	Mais ci endroit n’em parole plus li contes,  kar ça avant le devisera 	Ma qui indiritto non parla più il conto,  ché qua avanti vo diviserà 
comment elle lama merueilleusement.  Et comment elle li pria.  et la meruelle 	mas de como ella amo muy afincadamente a lançarote  e delas cosas 	comment elle lama merueilleusement  et comment elle le pria et la merueille 	et coment ele lenma meruilleusement  et coment ele le  proia.et la merueille 	et comment elle layma merueilleusement.  et comment elle mourut  pource quil la refusa 	et comment ele l’ama merveillosement  et comment ele le proia et la merveille 	com’ella l’amò maravigliosamente  e com’ella ne 'l pregò  e richiese d’amore,  e le maraviglie 
que sez amis en fist.  quant il sot  que elle lama. 	que su amigo fiço  quando sopo que ella tan desmesuradamjente lo amaua 	que son amy en fist  quant il scet quelle lamoit. 	que ses amis en fist  quant il sot  que ele lemmoit. 	Comment lancelot rescouist le frere du cheualier  qui lauoit logie. 	que ses amis en fist,  quant il sot  qu’ele l’amoit, 	che suo amico ne fece  quand’e' seppe  ch’ella l’amava, 
Et comment elle morut por chou  quil le refusa,  out ce vous trespassera li contes  chi endroit pour deuiser vne autre auenture qui lor auint el pauellon 	e de como ella murio  quando supo que lançarote no la queria amar  todo lo dexa aqui el Cuento de contar  Por contar vna auentura que les auino enla tienda  do estauan comiendo 	et comment cy endroit  pour deuiser une aunture qui leur aduint ou paueillon  elle mourut  par ce quil la refusa. 	et coument ele morust porce que il la refasa.  Tout ce nos trespasera li contes ci endroit.  por deuiser une auanture  qui lor auint el pauillon. 	Et comment il se deffendist centre argondes.  et puis alla a la douloureuse tour faire enterrer le corps de galle 	et comment cele morut  por ce qu’il la refusa,  tot ce vos trespassera li contes ci endroit  por deviser une aventure  qu’il lor avint el paveillon 	e come elli la rifiutò  e com’ella ne mori.  Tutto vo trapassa ora il conto  qui indiritto per divisare una aventura  che loro avenne nel padiglione 
ensi com vous orres.  ANsi entendi la damoisele a regarder lancelot  que onques ne manga  Et tant que on dut seruir du secont mes :  Et quant il orent le secont 	Dize el cuento  que ellos estando comiendo  asi como vos digo he aqui  por do viene por antela tienda 	Tout ce uous trepassera le conte Cy dit listoire  qui quant ilz eurent le segond mes ung cheualier arme dunes armes uermeilles  uint courant deuant le paueillen o grant compaignie de cheualiers. 	OR dit li contes  que quant il orrent le secont mes eu.  E uous un cheualier arme a unes armes uermeilles.  et uuit acorant par deuant le pauillon o grant compangnie de cheualiers. 	.iiii.xx.xu.  LE compte dit  que quant ilz eurent eu le second mes uecy ung cheualier arme de armes uermeilles courant par deuant le paueillon a grant compaignie de cheualiers 	ou il estoient.  Ci dist li contes  que, quant il orent le secont mes eu,  es vos un chevalier armé d’unes armes vermeilles  qui vint corant par devant le paveillon o grant compaignie de chevaliers. 	ove egli erano.  Or dice il conto  che quando elli ebbono la seconda messa avuta, 
mes es vous. j. cheualier arme dunes armes uermeilles  qui vint corant par deuant le paueillon 	vn cauallero convnas armas vermejas  con gran conpaña de caualleros  e el Cauallero delas armas vermejas  que delante venia entro enla tienda 	Et cil es armes uermeilles  qui uenoit deuant entre ou paueillon 	et ciz as armes uermeilles  qui deuant uenoit:  entra el pauillon. 	et il entra au paueillon 	Et cil as armes vermeilles  qui devant venoit entre el paveillon a 	ed e' vidono uno cavaliere armato d’un’arme vermiglie 
et vit el paueillon. j. escuier 	e vio vn escudero 	et uoit ung escuier 	et uoit un escuier 	et uist ung escuier 	et voit. I. escuier 	che davanti lor venne nel padiglione;  e là ove vide uno scudieri 
qui seruoit a la table 	que seruia antela mesa 	qui seruoit a la table 	qui seruoit a la table. 	qui seruoit a la table 	qui servoit a la table, 	che serviva alla tavola 
qui estoit freres au cheualier de laiens.  Et il cort mainte nant  si le prent par les espaulles 	e el cauallero enque lo vido fue contra el  e tomolo porlos braços 	qui estoit frere au cheualier de leans  si court maintenant celle part  et le prent par les espaules 	et estoit freres au cheualier de laiens.  et il cort maintenant cele part  et le prant as espaules 	qui estoit frere au cheualier de leans.  Il le prent par les espaulles 	si estoit freres al chevalier de laiens.  Et il cort maintenant cele part,  si le prent par les espaules 	ed era fratello del cavaliere di là entro,  ed e' corre in quelle parti,  si prende lo scudieri per le spalle 
et le met par deuant lui sor le col de son cheual.  si sen torne a tout. 	e pusolo antesi sobre el cuello del cauallo  e salio conel dela tienda 	et le lieue deuant luy sur larcon de la sele.  si sen tourne atant. 	et le trait deuant lui sor larson de sa cele.  Si sen torne atant 	et le met deuant lui es arcons de sa selle si sen ua atout. 	et le lieve devant lui sor l’arçon de la sele,  si s’en torne a tot. 	e lieva davanti lui sopra l’arcione della sella,  si se ne va con tutto lui broccando. 
Et quant li cheualiers del paueillon vit chou 	e el cauallero quelo vio ansi lleuar 	Et quant cil du paueillon 	et quant cil del pauillon uoit ce: 	Et quant celui du paueillon uoit ce 	Et quant cil del paveillon voit ce. 	'E quando il signor del padiglione vide ciò, 
si crie a lancelot. 	començo a dar vozes a lançarote 	uoit ce si crie a lancelot. 	Si crie a lanc̾. 	si crie a lancelot. 	si crie a Lancelot: «  Ha, 	si isgrida a Lancellotto: 
					bials sire, 	
Sire iou sui mors sil emporte ensi mon frere. 	ay señor muerto so si asi me lleba a aquel escudero mi hermano 	Haa beau sire ie suys mort  sil emporte ainsi mon frere 	a biax sire ie sui mors ce ciz en porte mon frere. 	Haa sire ie suis mort  se celui emporte mon frere/ 	je sui mors,  se cil enporte ensi mon frere, 	Al, bel sire, io son morto  se que' ne porta insi mio fratello, 
quar il locirra sil nest secorus 	Ca lo matara si lo no acorredes 	Car il loccira sil nest secouru. 	Car il locirra ia.  ce i nest cecorus. 	car il loccira sil nest secouru 	kar il l’ocirra,  s’il n’est secors: 	ché l’uccidrà se nonn-è soccorsol 
Si vous pri pour dieu 	e porende vos Ruego por dios 	si uous pry pour dieu 	Si uous pri por dieu 	Si uous prie pour dieu 	si vos pri por Dieu 	Si vo priego, per Dio, 
que vous metes paine en lui rescorre. 	que me ayudedes alo cobrar 	que uous mectez et ung escuier uient a luy  si luy dist. 	que uos metes painne en lui rauoir. 	que uous mettez paine a le secourir 	que vos i metés paine. » 	che vo' vi mettiate pena in lui riscuotere». 
Lors saut maintenant lancelot doutre la table. 	e lançarote salio luego dela mesa 	Certes fait il. uoz armes  et demourra 	Et lanc̃ saut de la table 	Et lancelot sault hors de la table 	Et Lancelos saut de la table 	E Lancellotto salta tutto immantanente della tavola 
si demande ses armes 	e pidio sus armas a vn su escudero 	que ie ne les suyue.  Lors uient hors du paueillon. 	et demande ses armes. 	et demande ses armes, 	et demande ses armes, 	e domanda sue armi, 
Et vns escuiers vint a lui.  si li dist 	Que y estaua le dixo señor 	et les peine a le rauoir  et lancelot sault de la table 	et uns escuiers saut auaut  si li dist. 	et ung escuier uint a lui  et lui dist. 	et I. escuiers vint avant,  si li dist : «  Par foi, 	e uno scudiere viene avanti  che gli disse: 
Par foy sire vos armes et vostre cheual enmainent il  voire fait il :  par mon chief por chou ne remandra il mie  que ams iou ne lez sieue. 	Por buena fee el cauallero vos a hecho llebar vuestras armas  e vuestro cauallo pormi cabeza  dixo lançarote  ni por eso non fincara  quelo non siga 	et demande ses armes uostre cheual emmainent ilz.  uoire fait il.  Par mon chief 	Par foi sire et uos armes et uostre cheual enmainnent il.  uoire fait cil:  par mon chief iaporte ne remandra  que ie nes sieue. 	Par ma foy sire uoz armes emportent il.  Par mon chief  pour ce ne ne demourra il pas  que ie ne le suiue. 	sire,  vos armes et vostre cheval enmainent il ! —  Voire,  fet il.  par mon chief,  ja por ce ne remaindra  que je nes sieve.» 	«Per fé, vostre armi e vostro cavallo ne mena elli. —  Vere, diss’elli, per mio capo,  già per ciò non rimarrà  ch’io nol seguiti». 
Et lors sen ist hors del paueillon.  et li cheualiers aueques lui. 	e luego salio lançarote dela tienda  e el cauallero conel 	pour ce ne cheualiers o luy. 	Lors uient fors del pauillon et li cheualiers o lui 	Et lors sault hors du paueillen  et le cheualier auec lui 	Lors vient fors del paveillon  et li chevaliers o lui 	Allor va fuori del padiglione  e l cavaliere con lui, 
et il regarde chiaus  qui sen vont 	e vieron yr los caualleros pasando el agua 	et il regarde ceulx  qui sen uont 	et regardent cex  qui sen uont. 	Ilz regardent ceulx  qui sen uont 	et il esgarde cels  qui s’en vont 	ed e'risguardano quelli  che se ne vanno 
qui auoient passe laigue par. j. pont de fust. 	Porvna puente de madero 	qui auoient ia passe leaue par ung pont de fust. 	qui ia auoiet passe leue par .i. poncel de fust. 	qui auoient ia passe leaue par ung pont de fust. 	qui ja avoient passé l’eve par J. pont de fust; 	che già avieno passato l’acqua per un ponte di legno, 
Et lancelot demande au cheualier sil remandra 	señor dixo lançarote al cauallero fincad vos aqui 	Et lancelot demande au cheualier sil demourra. 	et lanc̃. demande au cheualier  ce il remaindra. 	Lancelot demande au cheualier sil demourra. 	et Lancelos demande al chevalier  s’il remaindra. « 	Pe Lancellotto domanda al cavaliere  s’elli rimarrà, 
Sire fait il nenil 	no fare dixo el 	sire fait il nennil. 	Sire fait cil non. 	Sire fait il nenny 	Sire,  fet il, 	ed e dice:  «Sire, 
ains vous tendrai compaignie 	mas antes yre con vos 	ains uous feray compaignie 	ains uos ferai compangnie. 	ains uous feray compaignie 	nenil,  ains vos ferai compaignie 	non, anzi, vo farò compagnia 
tant que vous aies troue 	fasta que falledes quien vos de armas 	tant que nous ayons trouue 	tant que nos aions troue 	tant que uous aiez trouue 	tant que nos aions trové 	tanto che noi troviamo 
qui armes vous volsist baillier. 	e cauallo enque sigades el cauallero  Luego se començaron de yr 	qui nous preste armes. 	qui armes nos baut. 	qui armes uous baillera. 	qui armes vos baut. » 	chi armi vo doni». 
Lors acoillent lor chemin droit au pont 	e andubieron tanto  fastaque llegaron ala puente de madera 	Lors acceillent leur uoye tout a pie  et uiennent au pont 	Et lors acuellent lor uoie. tout a pie.  et uienent au pont 	Lois uiennent au pent tout a pie 	Lors acueillent lor voie tot a pié  et vienent au pont, 	Allora accolgono lor camino tutto a ppiè  e vengono al ponte, 
et passent outre. 	e pasaronla 	si passerent oultre 	si passent outre. 	et passent oultre 	si passent outre 	si passano oltre 
Et sadrecent a vn tertre par ou li cheualier vont. 	e fueronse contravn otero  Por do los caualleros se yuan e lançarote 	et sadrecent au chemin par ou les cheualiers sen uont. 	et sadrescent au tertre par ou li cheualiers sen ua. 	et se adrecent a ung terte par ou les cheualiers uont. 	et s’adrecent a I. tertre  par ou li chevalier s’en vont; 	e s’adirsizlano al poggio  per dove il cavaliere se ne va. 
Si nont gaires ale quant il ont encontre. j. cheualier a vnes armes noires 	e el cauallero fueron tanto enpos ellos  fastaque encontraron vn cauallero armado devnas armas negras 	si nont gueres  alle que ilz encontrent ung cheualier arme dunes armes noires 	Si nont gaires ale  quant il uoient .i. cheualier arme a unes armes noires. 	Si ne ont gaires alle  quant ilz encontrent ung cheualier arme dunes armes noires 	si n’ont gaires alé  quant il encontrent I. chevalier armé d’unes armes noires 	Si non ebbono guari andato  quando elli incontrarono uno cavaliere a une armi nere 
qui venoit au pont par. j. Chemin de trauers. 	que venia ala puente  porvn sendero pequeño altrabes 	qui uenoit au pont par ung chemin de trauers. 	qui uenoit au pont par .i chemin de de trauers. 		qui venoit al pont par I. chemin de travers. 	che vlenlia al ponte per uno camino di traverso. 
Et quant il vit lancelot si sarreste por chou 	e quando el vio a lançarote 	et quant il uoit lancelot  si se arreste 	et quant il uoit lanc̃ si sareste 	Quant il uist lancelot  il se arresta 	Et quant il voit Lancelot, 	E quand’e' vide Lancellotto, 
quil le connut bien.	luego lo conoçio  e estovo quedo 	par ce que bien le cognoissoit. 	por ce que bien le quenoissoit. 	pource qu il le congnoissoit bien 	si s’areste por ce que bien le conoissoit, 	si si arestò per ciò che ben lo conosce, 
Si li demande 	fastaque llego  e dixole 	si luy demande 	Si li demande 	et lui demanda 	si li demande 	si gli domanda 
ou il aloit ensi tout a pie et desarmes. 	señor do ydes asi de pie  e desarmado 	ou il ua ainsi a pie et tout desarme. 	ou il ua Si a pie et ansi desarmes 	ou il alloit ainsi a pie tout desarme. 	ou il vet ensi a pié tos desammés. « 	ov’elli va insi a piede  e tutto disarmato. 
Qui estes vous fait lancelot  qui me demandes ou ie vois.  Iou sui fait il vns cheualiers destrange pais 	e quien sodes vos dixo lançarote  yo so dixo el vn cauallero destraña tierra 	Qui estes uous fait lancelot sur cheualier.  qui me denandez ou ie uoys.  Ie suys fait il ung cheualier estrange. 	Qui estes uos fait il sire cheualiers  qui me demandes ou ie uois.  Ie sui fait il de cest estrange pais. 	Quest ce fait lancelot demandez uous ou ie uois.  Oy sire si suis ung cheualier destrange pais 	Qui estes vos,  sire chevaliers,  fet Lancelos,  qui me demandés  ou je vois ? —  Je sui,  fet il, I. chevaliers d’estrange païs, 	PeChi siete voi,  disse Lancellotto, sire,  che mi domandate  ov’io vò? -  l’ son, diss’elli, uno cavaliere di stran paese 
qui moult mesmerueil de chou  que iou vous voi ensi aler. 	que mucho me marauillo  porque vos veo yr asi  e apie 	mais moult me merueille  de ce que ie uous uoy ainsi aller. 	mais mout me merueil  de ce que ainsi uos uoi aler. 	qui moult me merueille de uous uoir aller ainsi. 	mais molt me merveil  de ce que je vos voi ensi aler. » 	che molto mi maraviglio  di ciò  ch’io vi veggio insì andare». 
Et lancelot li conte 	e lançarote lo conoçio  e començole a contar 	et lancelot luy comte 	et lanc̃. li conte 	Et lancelot lui compte 	Et Lancelos li conte 	E Lancellotto gli conta 
comment il estoit herbergies. 	como el cauallero lo aluergara  e como el otro les llebo el escudero 	comment il estoit herberge.  et comment ung cheualier uint leans 	comment il estoit ainsi herbregiez.  et coment li cheualiers enporte lescuier. 	comment il estoit hebergie:  et comment ung cheualier uint 	comment il estoit herbergiés 	com’egli era albergato  e come uno cavaliere venne là entro 
						ov’elli mangiavano, 
					et comment I. chevaliers vint laiens 	
					ou il menjoit, 	
				la ou il mengoit 		
				qui print a force ung uarlet 		
			et encor ma il plus mesfait fait fait lanceloz. 			
		qui print a force ung uarlet 				
		et le mist sur le coul de son cheual. 				
		et encor ma il plus meffait. 				
		Car ceulx 				
et comment li valles fu pris et sez armes et ses cheuals emportees. 	que ala mesa seruia afuerça ençima del cauallo  e como le fiço llebar sus armas 	qui uindrent auec luy emporterent mes armes  et emmenerent mon cheual 	Car cil qui auec lui uindrent enportent mes armes.  et en mainnent mon cheual. 	et le mist sur le col de son cheual.  Et encores y a il plus fait lancelot 	qui prist a force I. vaslet  et le mist sor le col de son cheval. « 	e prese uno scudieri a forza davanti noi  e l mise sopra l collo di suo cavallo, 
						e ancor m’à elli più misfatto, 
						disse Lancellotto, 
						ché quelli che con esso lui venono 
						ne portano mie armi 
						e ne menano mio cavallo. 
					Et encore m’a il plus meffet, 	
					fet Lancelos, 	
					kar cil 	
					qui avec lui vindrent enporterent mes armes 	
					et enmenerent mon cheval. — 	
				car ceulx 		
				qui auec luy sont emportent mes armes 		
				et emmainent mon cheual/ 		
Quel guerredon fait cil porroie iou de vous atendre : 	Que galardon me daredes  dixo el cauallero 	Quel guerdon pourroye ie actendre de uous. 	Quel guerredon porroi ge atandre 	quel guerdon fait celuy pouroie ie auoir de uous 	Quel guerredon,  fet cil, 	—E quale guiderdone potre io di voi atendere, 
se ie por vous me desarmoie  et vous bailloie mes armes et mon cheual.  Certes fait lancelot 	si vos diese mis armas  e mi cauallo porçierto dixo lançarote 	si ie pour uous me desarmoye  et uous balloye mes armes et mon cheual.  Certes fait lancelot 	de uus se ie uos bailloie mes armes et mon cheual.  Certes fait lanc̃. 	se ie me desarmoye et uous bailloie mes armes et mon cheual/  certes fait lancelot: 	porroie je atendre de vos,  se je por vos me desarmoie  et vos bailloie mes armes et mon cheval ? —  Certes,  fet Lancelos, 	s’io per voi mi disarmasse  e vo donasse mio cavallo e mie armi? —  Certo,  sire,  disse Lancellotto, 
tel comme vous deuiseres. 	tal qual vos supieredes deuisar  si vos me juraredes 	tel comme uous deuiseriez 	tel com uous deuiserois. 	tel comme uous deuiseres/ 	tel com vos deviseriés. — 	tale come diviserete. —  e vo', 
						disse il cavaliere a l’arme nere, 
	dixo el Cauallero 					
Se vous fait cil el premier lieu 	que enel primer lugar  que vos fallare armado	Se uous me creancez  que ou premier lieu 	Ce uous fait cil me creantes  que el premier lieu ou ie uos troueroie arme 	se fait il au premier lieu 	Se vos,  fet il, el premier lieu 	nel primaio luogo  ov’io vo troverò armato 
ou iou vous trouerai arme me creantissies a baillier vos armes  Iou vous bailleroie lez moies 	e yo fuere desarmado  me dedes vuestras armas  yo vos dare estas mis armas e mi cauallo 	que ie uous trouueray arme par  ainsi que ie soye desarme  que uous me baillerez uoz armes ie uous bailleray les moyes.  Certes fait lancelot 	puis que ie fusse desarmes me donriez uos armes. le uous bailleroie les moiees. 	ou ie uous trouueray arme me promettes a bailler uos armes ie uous bailleray les miennes  Certes fait lancelot  si feray ie pourtant 	ou je vos troverai armé,  por que je soie desarmés,  me creantés a doner vos armes »  Ie vos bailleroie les moies. —  Certes, 	per ch’io sia disarmato  mi volete dare vostre armi,  e ciò mi volete impromettere,  io vo donerò le mie 
						che molto sono buone e difensaboli. — 
						Certo, 
						disse Lancellotto, 
					fet Lancelos, 	
Certes fait lancelot volentiers par ensi que vous ne me truisies combatant.  Et cil descent maintenant 	Muy de grado dixo lançarote  ental que me non falledes conuatiendo  e luego selo juro 	si feray ie  mais que uous ne me trouuez combatant.  Et il descent 	Certes fait cil  si ferai ge puis que uos ne me trussiez conbatant.  et cil descent maintenant 	que uous ne me trouues combatant/ et celuy deschent maintenant 	si ferai je,  por que vos ne me truisiés combatant. »  Et cil descent maintenant, 	si farò io,  purché voi non mi troviate combattendo».  E que' dice  che si, dic’elli, 
si se desarme  et baille a lancelot tout son harnois. 	entonçe desçendio el cauallero desu cauallo  e desarmose e dio todas sus armas  e su Cauallo a Lançarote 	si se desarme  et baille a lancelot tout son harnoys. 	si se desarme.  et baille a lanc̃ son harnois. 	sy se desarme et baille tout son harnois a lancelot 	si se desarme et baille a Lancelot tot son hernois, 	e Lancellotto gliel promette immantanente a donare.  sImmantanente discende il cavaliere  e disarma  e dona a Lancellotto sue armi e suo arnese, 
