sommer--ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	micha-ii-48	lancellotto-ii-48
si len prent tele pities 	e ovo tal piedad della 	si luy en prent telle pitie 	Si len prent tes pitiez 	Si luy en prent telle pitie 	si l'em prent tels pitiés 	si ne gli prende tale piatà 
quil en laisse toute paour 	que le fiço todo el miedo perder 	quil en laisse toute paour. 	quil en laisse totes paours. 	quil en laisse toute paour 	qu’il en laisse totes poors 	che ne lascia tutte paure 
et met le signe de la vraie crois en mi son front et en mi son pis. 	e fiço la señal dela cruz sobre si 	si en fait le signe de la croix enmy son uis. 	Si fait le signe de la crois enmi son uis. 	et fait le signe de la croix deuant son uisaige 	et fet le signe de la crois en mi son vis, 	e si fa el segno della santa croce  nel miluogo del suo viso, 
puis enbrace son escu 	e enbraço el escudo 	puis embrace lescu 	puis enbrace lescu. 	puys embrache son escu 	puis enbrace l’escu 	poscia imbraccia lo scudo 
et fiert le cheual des esperons 	e firio al cauallo de las espuelas 	et broche le cheual des esperons 	et broche le cheual des esperons 	et fiert son cheual des esperens 	et broche le cheval des esperons 	e broca il cavallo degli sproni, 
et se lance en laigue. 	e lanço se en el agua 	et se fiert erraument en leaue. 	et se fiert en leue tot errantment. 	et se lanche dedens leaue tout erraument: 	et se fiert en l’eve. 	si fiede nell’acqua isnellamente. 
Et li cheuaus commence a noier: 	e el cauallo començo de nadar luego 	et le cheual fu fort  si commence a nouer si tost 	Et li cheuaus fu fors si comance a noer 	et le cheual commence a noer si tost 	Et li chevals fu fors,  si commence a noer 	El cavallo fu forte,  incominciò a notare 
si tost quil a terre perdue. 	e perdio tierra	quil eut terre perdue 	si tost com il ot terre perdue 	quil eust terre perdue. 	si tost com il ot terre perdue, 	si tosto com'elli ebbe terra perduta, 
si lenporte de lautre part a grant paine 	en tal manera que paso dela otra parte del agua 	si lemporte de lautre part de ma riue a quelque peine. 		et sen passe le cheual iusques de laultre part de leaue 	si l’enporte d’autre part de la rive a quelque paine, 	si ne l portò d’altra parte della riva a qualche pena, 
mes aincois ot beu de laigue li vns et li autres. 	mas ante beuio el cauallo del agua  e si el caballo tan bueno 	mais ancois eut beu de leaue lun et lautre. 		mes ce fust a grant paine  car ains quilz feussent passes beurent de leaue lun et laultre 	mais ançois ot beu de l’eve li uns et li autre, 	'ma inanzi furono amenduni tutti molli, 
Et se li cheuaus ne fust si boins noie fussent ambedui 	no fuera sin dubda  el moriera enel agua 	et se le cheual ne eust este si bon  ilz fuszent tous deux noyez. 		et se le cheual neust este fort et bon ilz feussent noyes et lun et laultre 	et se li chevals ne fust si buens,  noié fuissent ambedui, 	e se l cavallo non fosse stato si forte,  anegati fossono amenduni, 
Car li cheualiers estoit pesans pour lez armes 	e boores porel peso delas armas 	car le cħlr estoit pesant pour les armes 		car le cheualier estoit fort pesant pour les armes 	kar li chevaliers estoit pesans por les armes 	ché l cavaliere era pesante per l’arme 
quil auoit uestues 	que llebaua 	quil auoit uestues 		quil auoit uestues. 	qu’il avoit vestues. 	ch’elli avea vestite. 
si en fu moult en peril. .  uant bohors ot passe laigue pour la damoisele secorre 	e desque fue dela otra Parte del agua 	Quant il fu de lautre part de leaue 	si lenporte dautͤ part la riue a quelque painne. 	Quant il fut de lautre part de leaue 	Quant il fu de l’autre part de l’eve, 	Quand’e fu da l’altra parte dell’acqua, 
ainsi que vous poes oir.  si ne descendi mie ains cort sus a chiaus 	dexo se correr 	si ne descendy pas.  ains court uers ceulx 	Si ne descendi pas ains cort uers ciax 	si ne descendist oncques ains courust uers ceulx 	si ne descendi pas,  ains cort vers cels 	si non discende passo, 
